energy_type,country,year,consommation
Solid fossil fuels,Albania,2011,138.974
Solid fossil fuels,Albania,2012,77.225
Solid fossil fuels,Albania,2013,67.005
Solid fossil fuels,Albania,2014,85.149
Solid fossil fuels,Albania,2015,94.089
Solid fossil fuels,Albania,2016,49.941
Solid fossil fuels,Albania,2017,123.149
Solid fossil fuels,Albania,2018,239.095
Solid fossil fuels,Albania,2019,123.502
Solid fossil fuels,Albania,2020,150.666
Solid fossil fuels,Albania,2021,227.071
Solid fossil fuels,Albania,2022,143.435
Solid fossil fuels,Austria,2011,340.942
Solid fossil fuels,Austria,2012,344.577
Solid fossil fuels,Austria,2013,345.239
Solid fossil fuels,Austria,2014,340.804
Solid fossil fuels,Austria,2015,352.912
Solid fossil fuels,Austria,2016,360.998
Solid fossil fuels,Austria,2017,328.812
Solid fossil fuels,Austria,2018,310.633
Solid fossil fuels,Austria,2019,308.671
Solid fossil fuels,Austria,2020,343.807
Solid fossil fuels,Austria,2021,316.825
Solid fossil fuels,Austria,2022,271.214
Solid fossil fuels,Bosnia and Herzegovina,2014,270.2
Solid fossil fuels,Bosnia and Herzegovina,2015,281.006
Solid fossil fuels,Bosnia and Herzegovina,2016,274.975
Solid fossil fuels,Bosnia and Herzegovina,2017,264.879
Solid fossil fuels,Bosnia and Herzegovina,2018,278.851
Solid fossil fuels,Bosnia and Herzegovina,2019,204.969
Solid fossil fuels,Bosnia and Herzegovina,2020,233.582
Solid fossil fuels,Bosnia and Herzegovina,2021,286.227
Solid fossil fuels,Bosnia and Herzegovina,2022,264.536
Solid fossil fuels,Belgium,2011,457.365
Solid fossil fuels,Belgium,2012,451.367
Solid fossil fuels,Belgium,2013,532.122
Solid fossil fuels,Belgium,2014,492.039
Solid fossil fuels,Belgium,2015,508.902
Solid fossil fuels,Belgium,2016,489.838
Solid fossil fuels,Belgium,2017,475.189
Solid fossil fuels,Belgium,2018,487.681
Solid fossil fuels,Belgium,2019,473.611
Solid fossil fuels,Belgium,2020,385.938
Solid fossil fuels,Belgium,2021,415.892
Solid fossil fuels,Belgium,2022,339.86
Solid fossil fuels,Bulgaria,2011,444.529
Solid fossil fuels,Bulgaria,2012,410.24
Solid fossil fuels,Bulgaria,2013,364.272
Solid fossil fuels,Bulgaria,2014,317.26
Solid fossil fuels,Bulgaria,2015,331.146
Solid fossil fuels,Bulgaria,2016,334.105
Solid fossil fuels,Bulgaria,2017,371.605
Solid fossil fuels,Bulgaria,2018,355.306
Solid fossil fuels,Bulgaria,2019,312.492
Solid fossil fuels,Bulgaria,2020,292.143
Solid fossil fuels,Bulgaria,2021,399.586
Solid fossil fuels,Bulgaria,2022,264.593
Solid fossil fuels,Cyprus,2011,7.46
Solid fossil fuels,Cyprus,2012,0.124
Solid fossil fuels,Cyprus,2013,0.124
Solid fossil fuels,Cyprus,2014,2.218
Solid fossil fuels,Cyprus,2015,3.679
Solid fossil fuels,Cyprus,2016,0
Solid fossil fuels,Cyprus,2017,2.98
Solid fossil fuels,Cyprus,2018,13.614
Solid fossil fuels,Cyprus,2019,17.199
Solid fossil fuels,Cyprus,2020,14.004
Solid fossil fuels,Cyprus,2021,40.105
Solid fossil fuels,Cyprus,2022,30.593
Solid fossil fuels,Czechia,2011,1836.71
Solid fossil fuels,Czechia,2012,1899.92
Solid fossil fuels,Czechia,2013,1857.198
Solid fossil fuels,Czechia,2014,1599.674
Solid fossil fuels,Czechia,2015,1574.414
Solid fossil fuels,Czechia,2016,1562.511
Solid fossil fuels,Czechia,2017,1754.833
Solid fossil fuels,Czechia,2018,1655.274
Solid fossil fuels,Czechia,2019,1437.206
Solid fossil fuels,Czechia,2020,1413.144
Solid fossil fuels,Czechia,2021,1431.891
Solid fossil fuels,Czechia,2022,1395.753
Solid fossil fuels,Germany,2011,4880.797
Solid fossil fuels,Germany,2012,4341.927
Solid fossil fuels,Germany,2013,4318.156
Solid fossil fuels,Germany,2014,4077.775
Solid fossil fuels,Germany,2015,4749.252
Solid fossil fuels,Germany,2016,4630.137
Solid fossil fuels,Germany,2017,4547.885
Solid fossil fuels,Germany,2018,3758.459
Solid fossil fuels,Germany,2019,3421.122
Solid fossil fuels,Germany,2020,3580.505
Solid fossil fuels,Germany,2021,3178.365
Solid fossil fuels,Germany,2022,3126.581
Solid fossil fuels,Denmark,2011,145.34
Solid fossil fuels,Denmark,2012,115.252
Solid fossil fuels,Denmark,2013,130.365
Solid fossil fuels,Denmark,2014,126.347
Solid fossil fuels,Denmark,2015,117.773
Solid fossil fuels,Denmark,2016,121.882
Solid fossil fuels,Denmark,2017,131.241
Solid fossil fuels,Denmark,2018,133.57
Solid fossil fuels,Denmark,2019,108.688
Solid fossil fuels,Denmark,2020,119.305
Solid fossil fuels,Denmark,2021,139.023
Solid fossil fuels,Denmark,2022,106.548
Solid fossil fuels,Estonia,2011,44.904
Solid fossil fuels,Estonia,2012,40.999
Solid fossil fuels,Estonia,2013,39.716
Solid fossil fuels,Estonia,2014,47.994
Solid fossil fuels,Estonia,2015,16.86
Solid fossil fuels,Estonia,2016,17.509
Solid fossil fuels,Estonia,2017,21.066
Solid fossil fuels,Estonia,2018,26.273
Solid fossil fuels,Estonia,2019,29.99
Solid fossil fuels,Estonia,2020,7.315
Solid fossil fuels,Estonia,2021,2.085
Solid fossil fuels,Estonia,2022,1.596
Solid fossil fuels,Greece,2011,216.572
Solid fossil fuels,Greece,2012,227.248
Solid fossil fuels,Greece,2013,212.366
Solid fossil fuels,Greece,2014,232.365
Solid fossil fuels,Greece,2015,224.437
Solid fossil fuels,Greece,2016,198.611
Solid fossil fuels,Greece,2017,195.667
Solid fossil fuels,Greece,2018,281.631
Solid fossil fuels,Greece,2019,198.274
Solid fossil fuels,Greece,2020,167.422
Solid fossil fuels,Greece,2021,183.649
Solid fossil fuels,Greece,2022,71.098
Solid fossil fuels,Spain,2011,813.11
Solid fossil fuels,Spain,2012,524.774
Solid fossil fuels,Spain,2013,456.502
Solid fossil fuels,Spain,2014,444.251
Solid fossil fuels,Spain,2015,432.83
Solid fossil fuels,Spain,2016,407.208
Solid fossil fuels,Spain,2017,484.444
Solid fossil fuels,Spain,2018,478.76
Solid fossil fuels,Spain,2019,373.251
Solid fossil fuels,Spain,2020,343.639
Solid fossil fuels,Spain,2021,345.854
Solid fossil fuels,Spain,2022,381.525
