year,price
2021,0.0000
2022,0.0000
2013,21.32
2014,20.78
2015,20.28
2016,19.17
2017,18.71
2018,18.5850
2019,18.3400
2020,17.9895
2021,17.6667
2022,21.2942
2023,43.3257
2024,38.3186
2013,15.4082
2014,14.2347
2015,14.265
2016,10.8598
2017,8.5335
2018,9.0462
2019,9.3109
2020,10.3855
2021,8.9115
2022,12.1719
2023,16.3328
2024,14.9237
2013,18.32
2014,18.27
2015,16.23
2016,15.19
2017,14.5114
2018,14.8847
2019,15.3755
2020,13.7697
2021,13.0023
2022,26.1811
2023,31.8275
2024,22.2514
2013,14.2397
2014,13.6261
2015,13.258
2016,10.226
2017,9.1778
2018,10.5356
2019,12.4631
2020,11.0110
2021,10.2154
2022,21.2110
2023,24.4176
2024,17.1954
2013,17.8029
2014,15.2285
2015,15.9493
2016,16.1879
2017,15.2685
2018,15.9675
2019,16.2682
2020,15.9069
2021,15.6045
2022,19.3386
2023,31.6191
2024,30.1251
2013,18.35
2014,18.84
2015,18.78
2016,18.36
2017,16.98
2018,16.9010
2019,17.5503
2020,16.5765
2021,17.9618
2022,22.3901
2023,34.1544
2024,33.2776
2013,27.5854
2014,25.2216
2015,25.5584
2016,23.1489
2017,24.672
2018,24.2095
2019,23.7451
2020,20.8287
2021,24.8473
2022,41.9111
2023,45.9819
2024,33.9807
2013,14.57
2014,13.64
2015,12.67
2016,9.62
2017,11.6133
2018,11.1426
2019,12.7321
2020,12.2553
2021,12.0958
2022,30.7210
2023,30.5282
2024,19.1855
2013,21.44
2014,20.09
2015,18.92
2016,15.68
2017,15.55
2018,14.7900
2019,15.4049
2020,13.4132
2021,12.4844
2022,22.8074
2023,32.9604
2024,20.0571
2013,20.34
2014,20.9
2015,20.32
2016,18.82
2017,18.52
2018,18.4751
2019,20.4438
2020,19.9309
2021,19.2038
2022,24.9262
2023,29.9129
2024,22.7467
2013,19.2124
2014,19.0471
2015,18.6755
2016,17.8671
2017,17.0916
2018,17.4057
2019,18.6101
2020,17.8380
2021,17.7219
2022,23.9269
2023,32.9357
2024,30.6560
2013,18.83
2014,19.47
2015,19.46
2016,18.05
2017,17.7413
2018,18.4662
2019,20.4950
2020,19.9882
2021,19.1936
2022,23.8741
2023,29.0023
2024,32.8009
2018,4.1884
2019,4.2009
2020,3.8702
2021,3.2618
2022,4.2051
2023,5.0423
2024,4.8383
2013,12.9191
2014,12.8979
2015,13.1265
2016,11.9036
2017,9.9689
2018,10.2119
2019,10.4238
2020,10.7964
2021,10.4009
2022,11.4568
2023,12.3056
2024,12.4250
2013,12.0104
2014,10.1466
2015,9.8029
2016,9.5613
2017,9.7764
2018,9.9528
2019,9.6017
2020,8.8602
2021,8.5200
2022,8.0851
2023,9.3548
2024,7.6329
2013,18.15
2014,18.92
2015,18.7
2016,18.12
2017,17.56
2018,17.5565
2019,18.9702
2020,18.5834
2021,17.2221
2022,23.5275
2023,40.6960
2024,35.3126
2013,23.17
2014,22.14
2015,21.27
2016,20.32
2017,19.56
2018,19.8447
2019,21.3645
2020,20.2286
2021,19.5362
2022,27.3987
2023,27.2429
2024,31.6726
2014,22.678
2015,25.3644
2016,23.4843
2017,20.6548
2018,18.9248
2019,20.9020
2020,21.8681
2021,19.8061
2022,31.3378
2023,55.5516
2024,44.1765
2013,16.7458
2014,15.5381
2015,11.75
2016,11.47
2017,10.14
2018,11.0900
2019,12.5096
2020,10.0391
2021,7.7413
2022,16.3136
2023,51.3476
2024,20.5245
2013,17.34
2014,14.78
2015,13.77
2016,12.62
2017,11.6
2018,11.4113
2019,12.4363
2020,11.4407
2021,12.1704
2022,23.7674
2023,24.3111
2024,24.5170
2013,14.0521
2014,13.45
2015,13.77
2016,11.78
2017,10.49
2018,10.6955
2019,12.3797
2020,8.7451
2021,8.2612
