country,year,energy_type,production
Albania,2011,Solid fossil fuels,138.974
Albania,2012,Solid fossil fuels,77.225
Albania,2013,Solid fossil fuels,67.005
Albania,2014,Solid fossil fuels,86.449
Albania,2015,Solid fossil fuels,94.089
Albania,2016,Solid fossil fuels,49.941
Albania,2017,Solid fossil fuels,123.149
Albania,2018,Solid fossil fuels,239.094
Albania,2019,Solid fossil fuels,123.502
Albania,2020,Solid fossil fuels,150.666
Albania,2021,Solid fossil fuels,227.071
Albania,2022,Solid fossil fuels,143.435
Austria,2011,Solid fossil fuels,3482.458
Austria,2012,Solid fossil fuels,3245.066
Austria,2013,Solid fossil fuels,3316.827
Austria,2014,Solid fossil fuels,3049.524
Austria,2015,Solid fossil fuels,3225.201
Austria,2016,Solid fossil fuels,3013.647
Austria,2017,Solid fossil fuels,3108.778
Austria,2018,Solid fossil fuels,2739.549
Austria,2019,Solid fossil fuels,2885.071
Austria,2020,Solid fossil fuels,2471.505
Austria,2021,Solid fossil fuels,2555.569
Austria,2022,Solid fossil fuels,2426.316
Bosnia and Herzegovina,2014,Solid fossil fuels,3657.915
Bosnia and Herzegovina,2015,Solid fossil fuels,3615.414
Bosnia and Herzegovina,2016,Solid fossil fuels,4111.803
Bosnia and Herzegovina,2017,Solid fossil fuels,4188.714
Bosnia and Herzegovina,2018,Solid fossil fuels,4230.078
Bosnia and Herzegovina,2019,Solid fossil fuels,3908.080
Bosnia and Herzegovina,2020,Solid fossil fuels,4009.674
Bosnia and Herzegovina,2021,Solid fossil fuels,3972.128
Bosnia and Herzegovina,2022,Solid fossil fuels,3875.392
Belgium,2011,Solid fossil fuels,3505.124
Belgium,2012,Solid fossil fuels,3235.666
Belgium,2013,Solid fossil fuels,3563.085
Belgium,2014,Solid fossil fuels,3476.418
Belgium,2015,Solid fossil fuels,3425.180
Belgium,2016,Solid fossil fuels,3165.661
Belgium,2017,Solid fossil fuels,3069.947
Belgium,2018,Solid fossil fuels,3080.495
Belgium,2019,Solid fossil fuels,3050.644
Belgium,2020,Solid fossil fuels,2364.790
Belgium,2021,Solid fossil fuels,2592.471
Belgium,2022,Solid fossil fuels,2737.497
Bulgaria,2011,Solid fossil fuels,8093.680
Bulgaria,2012,Solid fossil fuels,6915.000
Bulgaria,2013,Solid fossil fuels,5946.623
Bulgaria,2014,Solid fossil fuels,6357.280
Bulgaria,2015,Solid fossil fuels,6607.404
Bulgaria,2016,Solid fossil fuels,5698.588
Bulgaria,2017,Solid fossil fuels,6122.761
Bulgaria,2018,Solid fossil fuels,5492.404
Bulgaria,2019,Solid fossil fuels,5077.459
Bulgaria,2020,Solid fossil fuels,4160.132
Bulgaria,2021,Solid fossil fuels,5269.718
Bulgaria,2022,Solid fossil fuels,6261.000
Cyprus,2011,Solid fossil fuels,7.460
Cyprus,2012,Solid fossil fuels,0.124
Cyprus,2013,Solid fossil fuels,0.124
Cyprus,2014,Solid fossil fuels,2.218
Cyprus,2015,Solid fossil fuels,3.679
Cyprus,2016,Solid fossil fuels,0.000
Cyprus,2017,Solid fossil fuels,2.980
Cyprus,2018,Solid fossil fuels,13.614
Cyprus,2019,Solid fossil fuels,17.199
Cyprus,2020,Solid fossil fuels,14.004
Cyprus,2021,Solid fossil fuels,40.105
Cyprus,2022,Solid fossil fuels,30.593
Czechia,2011,Solid fossil fuels,18300.811
Czechia,2012,Solid fossil fuels,17283.113
Czechia,2013,Solid fossil fuels,17276.269
Czechia,2014,Solid fossil fuels,15972.076
Czechia,2015,Solid fossil fuels,16394.610
Czechia,2016,Solid fossil fuels,16553.885
Czechia,2017,Solid fossil fuels,15837.627
Czechia,2018,Solid fossil fuels,15815.285
Czechia,2019,Solid fossil fuels,14191.778
Czechia,2020,Solid fossil fuels,12298.302
Czechia,2021,Solid fossil fuels,12907.445
